Department,Number,Size,Grade
AAS,1100,22,B+
AEM,1102,78,A
AEM,1200,390,B
AEM,1220,283,A
AEM,2410,66,A
AEM,3210,61,B+
AEM,3240,76,B+
AEM,3310,44,A-
AEM,3350,40,A-
AEM,3370,53,A
AEM,3460,12,B+
AEM,4030,12,A
AEM,4050,48,B+
AEM,4160,21,A-
AEM,4190,74,B+
AEM,4210,71,A
AEM,4280,64,A-
AEM,4290,41,B+
AEM,4300,72,A-
AEM,4320,40,A-
AEM,4350,23,A+
AEM,4421,21,A
AEM,4480,38,A
AEM,4531,29,B+
AEM,4550,21,A
AEM,4940,73,A
AEM,4970,40,A
AEM,4980,63,A
AEM,4990,19,A
AEP,3220,70,A-
AEP,3560,56,B+
AEP,3620,59,A-
AEP,4340,48,B+
AEP,4380,26,A-
AEP,4900,19,A
AIRS,1162,13,A+
AIRS,2212,17,A
AIRS,4402,10,A
ALS,1341,15,A-
ALS,4770,13,A
AMST,1101,45,A-
ANSC,1105,51,A
ANSC,2210,76,B+
ANSC,2400,137,B+
ANSC,2410,107,A-
ANSC,2510,52,A
ANSC,3200,26,A-
ANSC,3510,43,A-
ANSC,3550,32,B
ANSC,3600,27,B+
ANSC,3700,48,B+
ANSC,3920,26,A-
ANSC,4010,13,A-
ANSC,4020,10,A
ANSC,4120,21,A+
ANSC,4140,37,A
ANSC,4570,22,A
ANSC,4970,15,A
ANSC,4980,21,A
ANSC,4990,19,A
ANTHR,1116,17,A
ANTHR,1170,16,A
ANTHR,1300,45,A-
ANTHR,1490,13,A
ANTHR,2400,83,A-
ANTHR,2450,81,A
ANTHR,3000,33,B
ANTHR,3390,23,B+
ANTHR,3447,45,A-
ANTHR,4439,12,A
ANTHR,4682,16,B+
ARCH,1102,59,A-
ARCH,1502,58,B+
ARCH,1802,65,B+
ARCH,2102,53,B+
ARCH,2302,60,B+
ARCH,2503,21,A-
ARCH,2601,63,A-
ARCH,2604,44,B+
ARCH,3102,44,B+
ARCH,3308,26,A-
ARCH,3309,45,A-
ARCH,3602,49,B
ARCH,3603,51,B
ARCH,3819,93,B+
ARCH,3820,19,B
ARCH,4102,21,A-
ARCH,4509,21,A
ARCH,4605,43,A-
